,bullish_intensity,bearish_intensity,bull_minus_bear,bull_scored_messages,bear_scored_messages,bull_bear_msg_ratio,total_scanned_messages,return_Open,return_High,return_Low,return_Close,return_Volume
164,1.41,1.58,-0.17,21,6,3.5,70,0.0041174928611298345,0.0014490353684608603,0.010166379685484506,0.0076682307536033445,-0.4167729513924521
165,1.91,1.6,0.31,5,3,1.67,28,0.0031892140800686697,0.004878238082419495,0.00561420603492202,0.002067951562396253,-0.0034603815636232715
166,1.97,1.92,0.05,10,4,2.5,34,-0.0014036995031039279,-0.0011107500125629999,-0.002894805899152253,0.0005778199534980377,-0.08052094368494511
167,1.96,2.18,-0.22,17,6,2.83,45,0.014140398819961986,0.012397034341082414,0.012276520988125705,0.013447172046846312,0.31960205191978863
168,1.67,2.38,-0.71,8,6,1.33,30,0.0020384131838351305,0.013099519687980399,0.0058999673675577124,0.013146660211703187,-0.06754069279967845
169,1.51,2.01,-0.5,12,11,1.09,66,0.01135160356769327,0.008472914977897261,-0.003910203266303536,-0.0061064115268162356,0.991974198534548
170,1.52,2.12,-0.6,11,16,0.69,68,-0.0061953537705068396,-0.012941024514102839,-0.011367879546761883,-0.0013338480247933049,-0.24465029173443964
171,1.68,2.09,-0.41,52,44,1.18,280,0.0061125812946278835,0.005486312499440427,0.00492209144732958,-0.010037649046066965,0.30233660784400884
172,2.02,1.88,0.14,25,16,1.56,85,0.04128107380124768,0.04413235288211692,0.05256004194007202,0.05981438251995952,0.33056491004520483
173,1.87,1.94,-0.07,29,14,2.07,76,-0.0021637790133506307,0.024976027856908,0.001837852479970259,0.027968485904229956,-0.19235351456731287
174,1.67,2.33,-0.66,21,18,1.17,77,0.03775554376721102,0.020356157374484818,0.042154619789869896,0.01636206364008097,0.004450075167804268
175,1.66,1.9,-0.24,16,11,1.45,55,0.01451545942374377,0.0010286538093471354,0.004456981290101192,-0.004910803952204779,-0.3988764242324164
176,1.65,2.13,-0.48,10,6,1.67,26,-0.016956050463439842,-0.016956592726818154,-0.028599144741456306,-0.027680935064934742,0.48067166970589614
177,1.71,1.66,0.05,24,13,1.85,88,-0.015040925526434545,-0.014336854520216713,-0.015776143381663,-0.001679075790524398,0.06916084109308951
178,1.88,1.71,0.17,14,10,1.4,45,-0.0008736638143451714,0.022727275740358044,0.021839993943762126,0.026911333789243264,-0.26313418839391856
179,1.41,1.8,-0.39,11,8,1.38,39,0.023914518990074463,0.002111122144032418,-0.0038548490515628586,-0.028104514499567856,-0.029305662721834214
180,2.34,1.89,0.45,4,6,0.67,32,-0.020311176258337782,-0.009942058878490756,0.007203134348000795,0.020146239911108754,-0.1624470287038614
181,1.55,1.98,-0.43,9,6,1.5,30,-0.003600685980889695,-0.01713447876416585,-0.02331869594541902,-0.02879668932448598,0.5931161988105875
182,1.58,1.34,0.24,17,8,2.13,46,-0.0375061435391697,-0.019560172747308924,-0.031236604916712873,-0.010398929379908162,0.2200598049569258
183,1.5,2.1,-0.6,23,15,1.53,121,0.003161660572686076,0.00042609048032571373,-0.19893056161880152,-0.03804840032813783,0.45607081935610694
184,1.64,1.89,-0.25,33,23,1.43,112,-0.03986916786980477,-0.0452275084035918,0.13028853526445494,-0.042192846383465876,0.3034213345643635
